client_hash_id,n_articles,label_rate,rate_bin
client_23a62021009f63c4,14016,0.21553938356164384,3
client_9958f0a7ae1df715,3067,0.08379523964786437,3
client_20259bd6705d81d4,4444,0.05783078307830783,3
client_b10cb2997d0c7c86,4104,0.05141325536062378,3
client_08d2847f24cf89c1,399,0.047619047619047616,3
client_e547b89c05043229,9300,0.04709677419354839,3
client_ff644d8251367cbb,4522,0.036045997346306945,3
client_2094c6eb080311d5,5574,0.02726946537495515,3
client_ba65e80a1116ae41,13129,0.0205651610937619,3
client_c182d11e4862a37d,1769,0.02035048049745619,3
client_a2eeb8899886adde,1179,0.018659881255301103,2
client_59256b0571e0c970,111,0.018018018018018018,2
client_0fa64a184f18a4a0,1469,0.017699115044247787,2
client_cd12bcfd98942aa1,5521,0.016482521282376383,2
client_fef1a8f436438636,10960,0.015054744525547446,2
client_0e1acc6cd57b0eba,147,0.013605442176870748,2
client_3197e6291363b4db,10168,0.013080251770259638,2
client_157ffe4d4a595515,4285,0.012835472578763127,2
client_e5c2aa26a8598242,3031,0.012537116463213462,2
client_1a730cb2640a1abf,2228,0.011220825852782765,1
client_65de48885f4ef01b,13333,0.011025275631890798,1
client_a80fca3f171ed1de,7625,0.010229508196721311,1
client_def0955f7a377868,1190,0.007563025210084034,1
client_86ebc2f12c01f586,313,0.006389776357827476,1
client_73cda7b4e4f265ea,28225,0.004605845881310895,1
client_7eafe750768f0ac2,272,0.003676470588235294,1
client_f623b01661d4bfe4,5878,0.003572643756379721,1
client_d211cb07b9059bab,1693,0.0035440047253396337,1
client_2910fd937f0b4d9a,2685,0.0026070763500931097,1
client_ccdd78843409c8c7,416,0.002403846153846154,0
client_3f0ce4d44fe94f3d,5481,0.0021893814997263274,0
client_4a18d1793d92fb84,3976,0.0017605633802816902,0
client_b77d0d5f08f05e64,750,0.0013333333333333333,0
client_3ffa76342f366962,31077,0.001319303665089938,0
client_625b6439094e23e4,31887,0.00015680371311192648,0
client_62f4a7e64f5e0096,20623,0.0,0
client_19b89ee4fe3db6da,6871,0.0,0
client_400c21c81c8b46ef,3437,0.0,0
client_9d54435aabd95a6c,1020,0.0,0
